date,open,high,low,close,TR,ATR,CI,trend
2016.01.04,1.47296,1.48154,1.46626,1.47109,0.015280000000000182,0.010469285714285705,39.289355267797255,1
2016.01.05,1.4712,1.47248,1.46378,1.46737,0.00869999999999993,0.010213571428571409,40.48362801523515,1
2016.01.06,1.46734,1.46809,1.46019,1.46297,0.007899999999999796,0.009670714285714263,43.60696675771593,1
2016.01.07,1.46299,1.46402,1.45328,1.46164,0.010740000000000194,0.009437857142857149,44.24080194665019,1
2016.01.08,1.46167,1.46446,1.45058,1.45164,0.013880000000000114,0.009382857142857153,46.23044619937236,1
2016.01.11,1.45217,1.4604,1.44921,1.45393,0.011189999999999811,0.009719999999999998,44.68183726260441,1
2016.01.12,1.45393,1.45598,1.43515,1.44427,0.020830000000000126,0.010837142857142863,33.96218939151161,1
2016.01.13,1.44429,1.44756,1.43795,1.44056,0.009609999999999896,0.01079428571428571,33.63737767171043,1
2016.01.14,1.44056,1.4445,1.43596,1.44099,0.008539999999999992,0.010814285714285712,33.64038234561454,1
2016.01.15,1.44101,1.44275,1.42512,1.4256,0.017630000000000035,0.011455714285714283,28.505211951850978,1
2016.01.18,1.42523,1.43228,1.42362,1.42422,0.00865999999999989,0.011648571428571421,29.032743686022012,1
2016.01.19,1.42423,1.43393,1.41289,1.41533,0.021039999999999948,0.012239999999999982,27.064558663559446,1
2016.01.20,1.41534,1.42189,1.41251,1.41872,0.009380000000000166,0.012513571428571426,27.716949763249556,1
2016.01.21,1.41873,1.42485,1.40783,1.42193,0.017020000000000035,0.012885714285714294,27.44509179304144,1
2016.01.22,1.42192,1.43621,1.42041,1.42622,0.015800000000000036,0.01292285714285714,33.02112308398515,1
2016.01.25,1.4263,1.43094,1.42235,1.42459,0.008590000000000098,0.01291500000000001,36.34235871857051,1
2016.01.26,1.42467,1.43666,1.41727,1.43491,0.01939000000000002,0.013735714285714311,39.66375548353777,1
2016.01.27,1.43491,1.43549,1.42293,1.4232,0.012559999999999905,0.01386571428571429,40.68989657005251,1
2016.01.28,1.42317,1.44072,1.42313,1.43573,0.017589999999999995,0.014130714285714283,44.579106709714246,0
2016.01.29,1.43558,1.44127,1.4149,1.42424,0.026370000000000005,0.01521500000000001,49.10907874868485,0
2016.02.01,1.42467,1.44446,1.42276,1.44297,0.021700000000000053,0.015277142857142862,57.3367318242723,0
2016.02.02,1.44297,1.44455,1.43253,1.44066,0.01201999999999992,0.015449285714285721,61.287365319275644,0
2016.02.03,1.44066,1.46487,1.43831,1.45996,0.026559999999999917,0.016736428571428572,45.79194854097418,0
2016.02.04,1.4593,1.46686,1.45289,1.4585,0.013970000000000038,0.016475,45.475462762373965,0
2016.02.05,1.45844,1.45905,1.44514,1.44978,0.013909999999999867,0.01685,46.46788023749846,0
2016.02.08,1.44929,1.45464,1.43498,1.44284,0.01966000000000001,0.016751428571428577,47.30808907111945,0
2016.02.09,1.44286,1.45151,1.43778,1.44672,0.01373000000000002,0.017062142857142852,48.13676484398172,0
2016.02.10,1.44675,1.45778,1.44312,1.45209,0.014660000000000117,0.016893571428571428,53.686191781855456,0
